Notes,State,Race,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,Alabama,White,2016,2016,3418594
,Alabama,White,2017,2017,3420990
,Alabama,White,2018,2018,3426745
Total,Alabama,White,,,94728590
Total,Alabama,,,,131943904
,Alaska,American Indian or Alaska Native,1990,1990,87214
,Alaska,American Indian or Alaska Native,1991,1991,89608
,Alaska,American Indian or Alaska Native,1992,1992,92191
,Alaska,American Indian or Alaska Native,1993,1993,94087
,Alaska,American Indian or Alaska Native,1994,1994,95764
,Alaska,American Indian or Alaska Native,1995,1995,96969
,Alaska,American Indian or Alaska Native,1996,1996,99390
,Alaska,American Indian or Alaska Native,1997,1997,101459
,Alaska,American Indian or Alaska Native,1998,1998,103986
,Alaska,American Indian or Alaska Native,1999,1999,105727
,Alaska,American Indian or Alaska Native,2000,2000,107966
,Alaska,American Indian or Alaska Native,2001,2001,108715
,Alaska,American Indian or Alaska Native,2002,2002,109756
,Alaska,American Indian or Alaska Native,2003,2003,110936
,Alaska,American Indian or Alaska Native,2004,2004,112721
,Alaska,American Indian or Alaska Native,2005,2005,114256
,Alaska,American Indian or Alaska Native,2006,2006,115621
,Alaska,American Indian or Alaska Native,2007,2007,116298
,Alaska,American Indian or Alaska Native,2008,2008,117376
,Alaska,American Indian or Alaska Native,2009,2009,119327
,Alaska,American Indian or Alaska Native,2010,2010,120926
,Alaska,American Indian or Alaska Native,2011,2011,122401
,Alaska,American Indian or Alaska Native,2012,2012,123642
,Alaska,American Indian or Alaska Native,2013,2013,124835
,Alaska,American Indian or Alaska Native,2014,2014,125767
,Alaska,American Indian or Alaska Native,2015,2015,126650
,Alaska,American Indian or Alaska Native,2016,2016,127563
,Alaska,American Indian or Alaska Native,2017,2017,127766
,Alaska,American Indian or Alaska Native,2018,2018,128033
Total,Alaska,American Indian or Alaska Native,,,3226950
,Alaska,Asian or Pacific Islander,1990,1990,20135
,Alaska,Asian or Pacific Islander,1991,1991,21194
,Alaska,Asian or Pacific Islander,1992,1992,22509
,Alaska,Asian or Pacific Islander,1993,1993,23773
,Alaska,Asian or Pacific Islander,1994,1994,24741
,Alaska,Asian or Pacific Islander,1995,1995,25624
,Alaska,Asian or Pacific Islander,1996,1996,26947
,Alaska,Asian or Pacific Islander,1997,1997,28249
,Alaska,Asian or Pacific Islander,1998,1998,29196
,Alaska,Asian or Pacific Islander,1999,1999,30390
,Alaska,Asian or Pacific Islander,2000,2000,32194
,Alaska,Asian or Pacific Islander,2001,2001,33834
,Alaska,Asian or Pacific Islander,2002,2002,35716
,Alaska,Asian or Pacific Islander,2003,2003,37741
,Alaska,Asian or Pacific Islander,2004,2004,39436
,Alaska,Asian or Pacific Islander,2005,2005,41227
,Alaska,Asian or Pacific Islander,2006,2006,42649
,Alaska,Asian or Pacific Islander,2007,2007,43997
,Alaska,Asian or Pacific Islander,2008,2008,46039
,Alaska,Asian or Pacific Islander,2009,2009,49128
,Alaska,Asian or Pacific Islander,2010,2010,51501
,Alaska,Asian or Pacific Islander,2011,2011,53369
,Alaska,Asian or Pacific Islander,2012,2012,55492
,Alaska,Asian or Pacific Islander,2013,2013,57773
,Alaska,Asian or Pacific Islander,2014,2014,58569
,Alaska,Asian or Pacific Islander,2015,2015,59921
,Alaska,Asian or Pacific Islander,2016,2016,61838
,Alaska,Asian or Pacific Islander,2017,2017,63619
,Alaska,Asian or Pacific Islander,2018,2018,64782
Total,Alaska,Asian or Pacific Islander,,,1181583
,Alaska,Black or African American,1990,1990,22665
,Alaska,Black or African American,1991,1991,23030
,Alaska,Black or African American,1992,1992,24744
,Alaska,Black or African American,1993,1993,26577
,Alaska,Black or African American,1994,1994,26129
,Alaska,Black or African American,1995,1995,24854
,Alaska,Black or African American,1996,1996,24463
,Alaska,Black or African American,1997,1997,25352
,Alaska,Black or African American,1998,1998,26194
,Alaska,Black or African American,1999,1999,26610
,Alaska,Black or African American,2000,2000,26707
,Alaska,Black or African American,2001,2001,27347
,Alaska,Black or African American,2002,2002,28157
,Alaska,Black or African American,2003,2003,28196
,Alaska,Black or African American,2004,2004,28663
,Alaska,Black or African American,2005,2005,28771
,Alaska,Black or African American,2006,2006,29078
,Alaska,Black or African American,2007,2007,29592
,Alaska,Black or African American,2008,2008,30075
,Alaska,Black or African American,2009,2009,30573
,Alaska,Black or African American,2010,2010,31799
,Alaska,Black or African American,2011,2011,32782
,Alaska,Black or African American,2012,2012,34106
,Alaska,Black or African American,2013,2013,34990
,Alaska,Black or African American,2014,2014,34963
,Alaska,Black or African American,2015,2015,35152
,Alaska,Black or African American,2016,2016,35974
,Alaska,Black or African American,2017,2017,36398
,Alaska,Black or African American,2018,2018,36711
Total,Alaska,Black or African American,,,850652
,Alaska,White,1990,1990,423276
,Alaska,White,1991,1991,436361
,Alaska,White,1992,1992,449292
,Alaska,White,1993,1993,454995
,Alaska,White,1994,1994,456674
,Alaska,White,1995,1995,456965
,Alaska,White,1996,1996,457769
,Alaska,White,1997,1997,457908
,Alaska,White,1998,1998,460556
,Alaska,White,1999,1999,462052
,Alaska,White,2000,2000,461096
,Alaska,White,2001,2001,463818
,Alaska,White,2002,2002,468708
,Alaska,White,2003,2003,471541
,Alaska,White,2004,2004,478466
,Alaska,White,2005,2005,482692
,Alaska,White,2006,2006,487954
,Alaska,White,2007,2007,490413
,Alaska,White,2008,2008,493965
,Alaska,White,2009,2009,499867
,Alaska,White,2010,2010,509680
,Alaska,White,2011,2011,513486
,Alaska,White,2012,2012,517159
,Alaska,White,2013,2013,519447
,Alaska,White,2014,2014,517008
,Alaska,White,2015,2015,515824
,Alaska,White,2016,2016,516129
,Alaska,White,2017,2017,512003
,Alaska,White,2018,2018,507912
Total,Alaska,White,,,13943016
Total,Alaska,,,,19202201
,Arizona,American Indian or Alaska Native,1990,1990,215940
,Arizona,American Indian or Alaska Native,1991,1991,222457
,Arizona,American Indian or Alaska Native,1992,1992,229298
,Arizona,American Indian or Alaska Native,1993,1993,237276
,Arizona,American Indian or Alaska Native,1994,1994,243930
,Arizona,American Indian or Alaska Native,1995,1995,253174
,Arizona,American Indian or Alaska Native,1996,1996,259560
,Arizona,American Indian or Alaska Native,1997,1997,265399
,Arizona,American Indian or Alaska Native,1998,1998,269706
,Arizona,American Indian or Alaska Native,1999,1999,275286
,Arizona,American Indian or Alaska Native,2000,2000,280002
,Arizona,American Indian or Alaska Native,2001,2001,284705
,Arizona,American Indian or Alaska Native,2002,2002,291458
,Arizona,American Indian or Alaska Native,2003,2003,298633
,Arizona,American Indian or Alaska Native,2004,2004,306256
,Arizona,American Indian or Alaska Native,2005,2005,316197
,Arizona,American Indian or Alaska Native,2006,2006,327058
,Arizona,American Indian or Alaska Native,2007,2007,336800
,Arizona,American Indian or Alaska Native,2008,2008,346539
,Arizona,American Indian or Alaska Native,2009,2009,353144
,Arizona,American Indian or Alaska Native,2010,2010,359704
,Arizona,American Indian or Alaska Native,2011,2011,365507
,Arizona,American Indian or Alaska Native,2012,2012,372087
,Arizona,American Indian or Alaska Native,2013,2013,377970
,Arizona,American Indian or Alaska Native,2014,2014,384354
,Arizona,American Indian or Alaska Native,2015,2015,389979
,Arizona,American Indian or Alaska Native,2016,2016,396282
,Arizona,American Indian or Alaska Native,2017,2017,401632
,Arizona,American Indian or Alaska Native,2018,2018,407595
Total,Arizona,American Indian or Alaska Native,,,9067928
,Arizona,Asian or Pacific Islander,1990,1990,59175
,Arizona,Asian or Pacific Islander,1991,1991,63684
,Arizona,Asian or Pacific Islander,1992,1992,68132
,Arizona,Asian or Pacific Islander,1993,1993,74247
,Arizona,Asian or Pacific Islander,1994,1994,80476
,Arizona,Asian or Pacific Islander,1995,1995,87113
,Arizona,Asian or Pacific Islander,1996,1996,93555
,Arizona,Asian or Pacific Islander,1997,1997,99329
,Arizona,Asian or Pacific Islander,1998,1998,104688
,Arizona,Asian or Pacific Islander,1999,1999,110336
,Arizona,Asian or Pacific Islander,2000,2000,116826
,Arizona,Asian or Pacific Islander,2001,2001,125272
,Arizona,Asian or Pacific Islander,2002,2002,134342
,Arizona,Asian or Pacific Islander,2003,2003,143220
,Arizona,Asian or Pacific Islander,2004,2004,153388
,Arizona,Asian or Pacific Islander,2005,2005,167814
,Arizona,Asian or Pacific Islander,2006,2006,184455
,Arizona,Asian or Pacific Islander,2007,2007,197939
,Arizona,Asian or Pacific Islander,2008,2008,209252
,Arizona,Asian or Pacific Islander,2009,2009,217943
,Arizona,Asian or Pacific Islander,2010,2010,225731
,Arizona,Asian or Pacific Islander,2011,2011,235691
,Arizona,Asian or Pacific Islander,2012,2012,245599
,Arizona,Asian or Pacific Islander,2013,2013,256339
,Arizona,Asian or Pacific Islander,2014,2014,268328
,Arizona,Asian or Pacific Islander,2015,2015,278129
,Arizona,Asian or Pacific Islander,2016,2016,290723
,Arizona,Asian or Pacific Islander,2017,2017,300345
,Arizona,Asian or Pacific Islander,2018,2018,310608
Total,Arizona,Asian or Pacific Islander,,,4902679
,Arizona,Black or African American,1990,1990,115796
,Arizona,Black or African American,1991,1991,121994
,Arizona,Black or African American,1992,1992,127617
,Arizona,Black or African American,1993,1993,133252
,Arizona,Black or African American,1994,1994,141948
,Arizona,Black or African American,1995,1995,150424
,Arizona,Black or African American,1996,1996,157868
,Arizona,Black or African American,1997,1997,164445
,Arizona,Black or African American,1998,1998,171440
,Arizona,Black or African American,1999,1999,177619
,Arizona,Black or African American,2000,2000,184843
,Arizona,Black or African American,2001,2001,194201
,Arizona,Black or African American,2002,2002,204176
,Arizona,Black or African American,2003,2003,213993
,Arizona,Black or African American,2004,2004,226956
,Arizona,Black or African American,2005,2005,243074
,Arizona,Black or African American,2006,2006,262150
,Arizona,Black or African American,2007,2007,278537
,Arizona,Black or African American,2008,2008,294617
,Arizona,Black or African American,2009,2009,308020
,Arizona,Black or African American,2010,2010,317837
,Arizona,Black or African American,2011,2011,326555
,Arizona,Black or African American,2012,2012,337190
,Arizona,Black or African American,2013,2013,347372
,Arizona,Black or African American,2014,2014,359039
,Arizona,Black or African American,2015,2015,372196
,Arizona,Black or African American,2016,2016,386552
,Arizona,Black or African American,2017,2017,399158
,Arizona,Black or African American,2018,2018,413873
Total,Arizona,Black or African American,,,7132742
,Arizona,White,1990,1990,3293186
,Arizona,White,1991,1991,3380441
,Arizona,White,1992,1992,3490693
,Arizona,White,1993,1993,3620665
,Arizona,White,1994,1994,3778735
,Arizona,White,1995,1995,3941788
,Arizona,White,1996,1996,4075957
,Arizona,White,1997,1997,4207817
,Arizona,White,1998,1998,4337508
,Arizona,White,1999,1999,4460582
,Arizona,White,2000,2000,4578915
,Arizona,White,2001,2001,4669299
,Arizona,White,2002,2002,4766279
,Arizona,White,2003,2003,4854518
,Arizona,White,2004,2004,4965804
,Arizona,White,2005,2005,5111992
,Arizona,White,2006,2006,5255478
,Arizona,White,2007,2007,5354405
,Arizona,White,2008,2008,5429954
,Arizona,White,2009,2009,5464047
,Arizona,White,2010,2010,5504502
,Arizona,White,2011,2011,5545744
,Arizona,White,2012,2012,5601753
,Arizona,White,2013,2013,5653318
,Arizona,White,2014,2014,5722119
,Arizona,White,2015,2015,5793292
,Arizona,White,2016,2016,5871895
,Arizona,White,2017,2017,5947741
,Arizona,White,2018,2018,6039570
Total,Arizona,White,,,140717997
Total,Arizona,,,,161821346
,Arkansas,American Indian or Alaska Native,1990,1990,12356
,Arkansas,American Indian or Alaska Native,1991,1991,12598
,Arkansas,American Indian or Alaska Native,1992,1992,13177
,Arkansas,American Indian or Alaska Native,1993,1993,13456
,Arkansas,American Indian or Alaska Native,1994,1994,13657
,Arkansas,American Indian or Alaska Native,1995,1995,14317
,Arkansas,American Indian or Alaska Native,1996,1996,15325
,Arkansas,American Indian or Alaska Native,1997,1997,16028
,Arkansas,American Indian or Alaska Native,1998,1998,17040
,Arkansas,American Indian or Alaska Native,1999,1999,18045
,Arkansas,American Indian or Alaska Native,2000,2000,20037
,Arkansas,American Indian or Alaska Native,2001,2001,20829
,Arkansas,American Indian or Alaska Native,2002,2002,21526
,Arkansas,American Indian or Alaska Native,2003,2003,22277
,Arkansas,American Indian or Alaska Native,2004,2004,23054
,Arkansas,American Indian or Alaska Native,2005,2005,24240
,Arkansas,American Indian or Alaska Native,2006,2006,25108
,Arkansas,American Indian or Alaska Native,2007,2007,26220
,Arkansas,American Indian or Alaska Native,2008,2008,27242
,Arkansas,American Indian or Alaska Native,2009,2009,28106
,Arkansas,American Indian or Alaska Native,2010,2010,29142
,Arkansas,American Indian or Alaska Native,2011,2011,29583
,Arkansas,American Indian or Alaska Native,2012,2012,30315
,Arkansas,American Indian or Alaska Native,2013,2013,30622
,Arkansas,American Indian or Alaska Native,2014,2014,31122
,Arkansas,American Indian or Alaska Native,2015,2015,31663
,Arkansas,American Indian or Alaska Native,2016,2016,32438
,Arkansas,American Indian or Alaska Native,2017,2017,33169
,Arkansas,American Indian or Alaska Native,2018,2018,33837
Total,Arkansas,American Indian or Alaska Native,,,666529
,Arkansas,Asian or Pacific Islander,1990,1990,12249
,Arkansas,Asian or Pacific Islander,1991,1991,12690
,Arkansas,Asian or Pacific Islander,1992,1992,13243
,Arkansas,Asian or Pacific Islander,1993,1993,14545
,Arkansas,Asian or Pacific Islander,1994,1994,15564
,Arkansas,Asian or Pacific Islander,1995,1995,16974
,Arkansas,Asian or Pacific Islander,1996,1996,18264
,Arkansas,Asian or Pacific Islander,1997,1997,19615
,Arkansas,Asian or Pacific Islander,1998,1998,20350
,Arkansas,Asian or Pacific Islander,1999,1999,21433
,Arkansas,Asian or Pacific Islander,2000,2000,24539
,Arkansas,Asian or Pacific Islander,2001,2001,26157
,Arkansas,Asian or Pacific Islander,2002,2002,27954
,Arkansas,Asian or Pacific Islander,2003,2003,30087
,Arkansas,Asian or Pacific Islander,2004,2004,32575
,Arkansas,Asian or Pacific Islander,2005,2005,35186
,Arkansas,Asian or Pacific Islander,2006,2006,37822
,Arkansas,Asian or Pacific Islander,2007,2007,40045
,Arkansas,Asian or Pacific Islander,2008,2008,42091
,Arkansas,Asian or Pacific Islander,2009,2009,44948
,Arkansas,Asian or Pacific Islander,2010,2010,47570
,Arkansas,Asian or Pacific Islander,2011,2011,50422
,Arkansas,Asian or Pacific Islander,2012,2012,53439
,Arkansas,Asian or Pacific Islander,2013,2013,54842
,Arkansas,Asian or Pacific Islander,2014,2014,56751
,Arkansas,Asian or Pacific Islander,2015,2015,59016
,Arkansas,Asian or Pacific Islander,2016,2016,61696
,Arkansas,Asian or Pacific Islander,2017,2017,63797
,Arkansas,Asian or Pacific Islander,2018,2018,65231
Total,Arkansas,Asian or Pacific Islander,,,1019095
,Arkansas,Black or African American,1990,1990,375370
,Arkansas,Black or African American,1991,1991,380194
,Arkansas,Black or African American,1992,1992,386732
,Arkansas,Black or African American,1993,1993,393794
,Arkansas,Black or African American,1994,1994,398538
,Arkansas,Black or African American,1995,1995,404627
,Arkansas,Black or African American,1996,1996,411450
,Arkansas,Black or African American,1997,1997,416291
,Arkansas,Black or African American,1998,1998,420780
,Arkansas,Black or African American,1999,1999,424438
,Arkansas,Black or African American,2000,2000,427259
,Arkansas,Black or African American,2001,2001,429929
,Arkansas,Black or African American,2002,2002,432330
,Arkansas,Black or African American,2003,2003,435025
,Arkansas,Black or African American,2004,2004,438712
,Arkansas,Black or African American,2005,2005,442674
,Arkansas,Black or African American,2006,2006,450382
,Arkansas,Black or African American,2007,2007,453433
,Arkansas,Black or African American,2008,2008,458375
,Arkansas,Black or African American,2009,2009,462207
,Arkansas,Black or African American,2010,2010,467415
,Arkansas,Black or African American,2011,2011,470798
,Arkansas,Black or African American,2012,2012,473138
,Arkansas,Black or African American,2013,2013,475932
,Arkansas,Black or African American,2014,2014,478506
,Arkansas,Black or African American,2015,2015,481933
,Arkansas,Black or African American,2016,2016,485464
,Arkansas,Black or African American,2017,2017,487818
,Arkansas,Black or African American,2018,2018,489759
Total,Arkansas,Black or African American,,,12753303
,Arkansas,White,1990,1990,1956611
,Arkansas,White,1991,1991,1977662
,Arkansas,White,1992,1992,2002832
,Arkansas,White,1993,1993,2034508
,Arkansas,White,1994,1994,2066260
,Arkansas,White,1995,1995,2099481
,Arkansas,White,1996,1996,2127070
,Arkansas,White,1997,1997,2149156
,Arkansas,White,1998,1998,2168119
,Arkansas,White,1999,1999,2187944
,Arkansas,White,2000,2000,2206753
,Arkansas,White,2001,2001,2214656
,Arkansas,White,2002,2002,2224117
,Arkansas,White,2003,2003,2237427
,Arkansas,White,2004,2004,2255345
,Arkansas,White,2005,2005,2278997
,Arkansas,White,2006,2006,2308449
,Arkansas,White,2007,2007,2328952
,Arkansas,White,2008,2008,2346846
,Arkansas,White,2009,2009,2361582
,Arkansas,White,2010,2010,2377851
,Arkansas,White,2011,2011,2389604
,Arkansas,White,2012,2012,2395217
,Arkansas,White,2013,2013,2398153
,Arkansas,White,2014,2014,2401347
,Arkansas,White,2015,2015,2405795
,Arkansas,White,2016,2016,2410812
,Arkansas,White,2017,2017,2418213
,Arkansas,White,2018,2018,2424998
Total,Arkansas,White,,,65154757
Total,Arkansas,,,,79593684
,California,American Indian or Alaska Native,1990,1990,290666
,California,American Indian or Alaska Native,1991,1991,304866
,California,American Indian or Alaska Native,1992,1992,320375
,California,American Indian or Alaska Native,1993,1993,335651
,California,American Indian or Alaska Native,1994,1994,351450
,California,American Indian or Alaska Native,1995,1995,367482
,California,American Indian or Alaska Native,1996,1996,386136
,California,American Indian or Alaska Native,1997,1997,406190
,California,American Indian or Alaska Native,1998,1998,429045
,California,American Indian or Alaska Native,1999,1999,453029
,California,American Indian or Alaska Native,2000,2000,477508
,California,American Indian or Alaska Native,2001,2001,495065
,California,American Indian or Alaska Native,2002,2002,513001
,California,American Indian or Alaska Native,2003,2003,534792
,California,American Indian or Alaska Native,2004,2004,557610
,California,American Indian or Alaska Native,2005,2005,581877
,California,American Indian or Alaska Native,2006,2006,607308
,California,American Indian or Alaska Native,2007,2007,636353
,California,American Indian or Alaska Native,2008,2008,669667
,California,American Indian or Alaska Native,2009,2009,709279
,California,American Indian or Alaska Native,2010,2010,740453
,California,American Indian or Alaska Native,2011,2011,744862
,California,American Indian or Alaska Native,2012,2012,749250
,California,American Indian or Alaska Native,2013,2013,753487
,California,American Indian or Alaska Native,2014,2014,758154
,California,American Indian or Alaska Native,2015,2015,762754
,California,American Indian or Alaska Native,2016,2016,766785
,California,American Indian or Alaska Native,2017,2017,772742
,California,American Indian or Alaska Native,2018,2018,777959
Total,California,American Indian or Alaska Native,,,16253796
,California,Asian or Pacific Islander,1990,1990,2992240
,California,Asian or Pacific Islander,1991,1991,3129673
,California,Asian or Pacific Islander,1992,1992,3271912
,California,Asian or Pacific Islander,1993,1993,3401428
,California,Asian or Pacific Islander,1994,1994,3507001
,California,Asian or Pacific Islander,1995,1995,3612456
,California,Asian or Pacific Islander,1996,1996,3713344
,California,Asian or Pacific Islander,1997,1997,3829335
,California,Asian or Pacific Islander,1998,1998,3939259
,California,Asian or Pacific Islander,1999,1999,4051272
,California,Asian or Pacific Islander,2000,2000,4175057
,California,Asian or Pacific Islander,2001,2001,4338380
,California,Asian or Pacific Islander,2002,2002,4482498
,California,Asian or Pacific Islander,2003,2003,4621258
,California,Asian or Pacific Islander,2004,2004,4750147
,California,Asian or Pacific Islander,2005,2005,4884264
,California,Asian or Pacific Islander,2006,2006,5013374
